session_id,timestamp,state,fault_type,battery_pct,brush_rpm,pump_pressure_bar,tank_level_L,motor_temp_C,current_draw_A
1,2026-05-01 07:00:00,CHARGING,,85.3,0,0.0,19.99,30.32,2.3
1,2026-05-01 07:00:05,CHARGING,,85.23,0,0.0,19.98,30.79,2.15
1,2026-05-01 07:00:10,CHARGING,,85.31,0,0.0,20.05,29.77,1.91
1,2026-05-01 07:00:15,CHARGING,,85.67,0,0.0,19.81,29.14,1.89
1,2026-05-01 07:00:20,CHARGING,,85.45,0,0.0,20.03,29.55,1.72
1,2026-05-01 07:00:25,CHARGING,,86.34,0,0.0,19.98,30.03,1.72
1,2026-05-01 07:00:30,CHARGING,,85.89,0,0.0,20.01,29.42,2.08
1,2026-05-01 07:00:35,CHARGING,,86.02,0,0.0,19.97,29.7,2.37
1,2026-05-01 07:00:40,CHARGING,,86.35,0,0.0,19.89,30.41,1.76
1,2026-05-01 07:00:45,CHARGING,,86.56,0,0.0,19.8,29.34,2.04
1,2026-05-01 07:00:50,CHARGING,,86.87,0,0.0,20.02,29.94,1.94
1,2026-05-01 07:00:55,CHARGING,,86.36,0,0.0,19.93,29.77,2.21
1,2026-05-01 07:01:00,CHARGING,,87.05,0,0.0,19.82,30.16,1.92
1,2026-05-01 07:01:05,CHARGING,,86.9,0,0.0,20.06,30.52,2.19
1,2026-05-01 07:01:10,CHARGING,,87.0,0,0.0,19.97,30.17,2.2
1,2026-05-01 07:01:15,CHARGING,,87.26,0,0.0,19.98,29.45,1.76
1,2026-05-01 07:01:20,CHARGING,,87.79,0,0.0,20.14,29.96,2.2
1,2026-05-01 07:01:25,CHARGING,,87.81,0,0.0,19.94,30.18,2.31
1,2026-05-01 07:01:30,CHARGING,,87.84,0,0.0,20.16,28.69,2.16
1,2026-05-01 07:01:35,CHARGING,,88.03,0,0.0,19.97,30.05,1.6
1,2026-05-01 07:01:40,CHARGING,,88.08,0,0.0,20.04,30.74,1.9
1,2026-05-01 07:01:45,CHARGING,,88.06,0,0.0,19.95,30.46,2.07
1,2026-05-01 07:01:50,CHARGING,,88.29,0,0.0,20.05,30.05,2.19
1,2026-05-01 07:01:55,CHARGING,,88.39,0,0.0,19.97,29.8,1.71
1,2026-05-01 07:02:00,CHARGING,,88.84,0,0.0,20.03,30.0,1.95
1,2026-05-01 07:02:05,CHARGING,,88.48,0,0.0,19.96,29.83,1.84
1,2026-05-01 07:02:10,CHARGING,,89.0,0,0.0,20.04,30.94,2.03
1,2026-05-01 07:02:15,CHARGING,,89.28,0,0.0,19.99,29.04,1.99
1,2026-05-01 07:02:20,CHARGING,,89.37,0,0.0,20.25,29.9,2.06
1,2026-05-01 07:02:25,CHARGING,,89.49,0,0.0,19.88,30.57,2.15
1,2026-05-01 07:02:30,CHARGING,,89.89,0,0.0,19.91,30.7,1.72
1,2026-05-01 07:02:35,CHARGING,,89.98,0,0.0,20.22,29.5,1.89
1,2026-05-01 07:02:40,CHARGING,,89.98,0,0.0,19.95,29.22,2.01
1,2026-05-01 07:02:45,CHARGING,,89.78,0,0.0,20.05,29.54,2.31
1,2026-05-01 07:02:50,CHARGING,,90.02,0,0.0,19.97,30.41,1.75
1,2026-05-01 07:02:55,CHARGING,,90.47,0,0.0,20.13,29.2,2.04
1,2026-05-01 07:03:00,CHARGING,,90.63,0,0.0,20.08,29.38,1.74
1,2026-05-01 07:03:05,CHARGING,,90.86,0,0.0,20.03,30.13,2.07
1,2026-05-01 07:03:10,CHARGING,,90.65,0,0.0,20.02,30.15,1.86
1,2026-05-01 07:03:15,CHARGING,,91.56,0,0.0,20.05,29.4,2.13
1,2026-05-01 07:03:20,CHARGING,,90.86,0,0.0,20.08,30.58,1.84
1,2026-05-01 07:03:25,CHARGING,,91.59,0,0.0,20.04,30.41,2.38
1,2026-05-01 07:03:30,CHARGING,,91.38,0,0.0,19.92,29.56,1.84
1,2026-05-01 07:03:35,CHARGING,,91.58,0,0.0,20.03,30.14,2.17
1,2026-05-01 07:03:40,CHARGING,,91.75,0,0.0,20.15,29.87,2.54
1,2026-05-01 07:03:45,CHARGING,,92.09,0,0.0,19.91,29.46,2.1
1,2026-05-01 07:03:50,CHARGING,,91.98,0,0.0,20.07,30.24,1.99
1,2026-05-01 07:03:55,CHARGING,,91.95,0,0.0,19.85,29.78,2.17
1,2026-05-01 07:04:00,CHARGING,,92.41,0,0.0,19.88,30.09,2.08
1,2026-05-01 07:04:05,CHARGING,,92.23,0,0.0,20.02,30.03,1.77
1,2026-05-01 07:04:10,CHARGING,,92.76,0,0.0,20.06,30.54,2.21
1,2026-05-01 07:04:15,CHARGING,,92.39,0,0.0,19.91,30.26,2.1
1,2026-05-01 07:04:20,CHARGING,,93.1,0,0.0,20.39,30.29,2.23
1,2026-05-01 07:04:25,CHARGING,,93.39,0,0.0,20.07,29.84,2.15
1,2026-05-01 07:04:30,CHARGING,,93.02,0,0.0,19.98,29.76,2.02
1,2026-05-01 07:04:35,CHARGING,,94.09,0,0.0,19.81,30.34,1.68
1,2026-05-01 07:04:40,CHARGING,,93.41,0,0.0,20.11,30.03,1.78
1,2026-05-01 07:04:45,CHARGING,,93.49,0,0.0,20.07,29.63,2.04
1,2026-05-01 07:04:50,CHARGING,,93.86,0,0.0,19.93,31.07,2.13
1,2026-05-01 07:04:55,CHARGING,,93.39,0,0.0,20.02,29.67,2.17
1,2026-05-01 07:05:00,NAVIGATING,,93.72,0,0.0,19.99,30.25,4.67
1,2026-05-01 07:05:05,NAVIGATING,,93.56,0,0.0,19.97,29.76,4.37
1,2026-05-01 07:05:10,NAVIGATING,,94.41,0,0.0,20.04,29.37,4.68
1,2026-05-01 07:05:15,NAVIGATING,,94.48,0,0.0,20.1,29.24,4.4
1,2026-05-01 07:05:20,NAVIGATING,,94.18,0,0.0,19.93,30.22,4.65
1,2026-05-01 07:05:25,NAVIGATING,,93.48,0,0.0,19.99,28.38,4.3
1,2026-05-01 07:05:30,NAVIGATING,,93.64,0,0.0,19.88,30.82,4.21
1,2026-05-01 07:05:35,NAVIGATING,,93.55,0,0.0,20.01,30.72,4.21
1,2026-05-01 07:05:40,NAVIGATING,,93.99,0,0.0,20.0,29.51,4.59
1,2026-05-01 07:05:45,CLEANING,,93.62,988,2.5,19.94,30.11,7.63
1,2026-05-01 07:05:50,CLEANING,,93.96,975,2.61,19.75,30.02,7.62
1,2026-05-01 07:05:55,CLEANING,,93.48,988,2.49,19.88,29.86,7.67
1,2026-05-01 07:06:00,CLEANING,,93.43,986,2.54,19.93,30.61,7.63
1,2026-05-01 07:06:05,CLEANING,,92.99,989,2.54,19.94,30.24,7.52
1,2026-05-01 07:06:10,CLEANING,,93.54,988,2.53,19.83,30.19,7.72
1,2026-05-01 07:06:15,CLEANING,,93.33,1016,2.57,19.83,30.69,7.44
1,2026-05-01 07:06:20,CLEANING,,93.1,997,2.5,19.86,29.99,7.92
1,2026-05-01 07:06:25,CLEANING,,92.62,976,2.56,19.85,30.76,7.63
1,2026-05-01 07:06:30,CLEANING,,92.84,982,2.5,19.68,30.99,7.47
